,indices_behind_to_use_range,number_of_nearby_locations_to_use,hidden_layer_sizes,alpha,airlocation_id,nearby_airlocation_ids,prediction_type,error_results
453,"range(0, 9, 2)",5.0,"(100,)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_3,"{'13_ahead': 22.730946363739406, '24_ahead': 26.813466248538838, '35_ahead': 30.020291936007631, '2_ahead': 18.843941254463992, '46_ahead': 32.550642368852778}"
454,"range(0, 9, 2)",5.0,"(100,)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_4,"{'13_ahead': 24.530338488515447, '24_ahead': 27.212461566866288, '35_ahead': 30.261362936259506, '2_ahead': 21.89935454736521, '46_ahead': 31.933624331133096}"
455,"range(0, 9, 2)",5.0,"(100,)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_5,"{'13_ahead': 28.525542602542973, '24_ahead': 30.956409264866938, '35_ahead': 33.313706771346105, '2_ahead': 26.050410774035441, '46_ahead': 35.095704562321011}"
456,"range(0, 9, 2)",5.0,"(100, 10)",0.001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 14.471149553261062, '24_ahead': 19.588711178820027, '35_ahead': 20.235899660392299, '2_ahead': 5.764605043050671, '46_ahead': 18.143550136665713}"
457,"range(0, 9, 2)",5.0,"(100, 10)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.59479376872622, '24_ahead': 23.000234379134916, '35_ahead': 27.663807334869357, '2_ahead': 4.9941150722214775, '46_ahead': 30.945331618974375}"
458,"range(0, 9, 2)",5.0,"(100, 10)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 19.03234985533026, '24_ahead': 23.92479046962389, '35_ahead': 27.656470250908136, '2_ahead': 14.281081943693872, '46_ahead': 30.51927294002483}"
459,"range(0, 9, 2)",5.0,"(100, 10)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_3,"{'13_ahead': 22.557894387001571, '24_ahead': 26.475201794399446, '35_ahead': 29.87103772549451, '2_ahead': 18.642185888670522, '46_ahead': 32.453095292674426}"
460,"range(0, 9, 2)",5.0,"(100, 10)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_4,"{'13_ahead': 23.905612297610183, '24_ahead': 27.067789709705238, '35_ahead': 29.484399034548915, '2_ahead': 21.747605155218906, '46_ahead': 32.261924582783038}"
461,"range(0, 9, 2)",5.0,"(100, 10)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_5,"{'13_ahead': 28.719048545243989, '24_ahead': 31.101621404474912, '35_ahead': 33.207453088631226, '2_ahead': 26.627016920404902, '46_ahead': 35.664348443157692}"
462,"range(0, 9, 2)",5.0,"(100, 10)",0.0005,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 14.975725996078847, '24_ahead': 18.5903076991729, '35_ahead': 19.875607544071535, '2_ahead': 5.8109504749154075, '46_ahead': 18.437522500526683}"
463,"range(0, 9, 2)",5.0,"(100, 10)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.339192567348952, '24_ahead': 23.207083347376894, '35_ahead': 27.742342502578399, '2_ahead': 5.225108634012817, '46_ahead': 30.763903349767904}"
464,"range(0, 9, 2)",5.0,"(100, 10)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 18.355562726640404, '24_ahead': 23.577337996002388, '35_ahead': 27.922121631246771, '2_ahead': 15.573825265943261, '46_ahead': 30.060667577052442}"
465,"range(0, 9, 2)",5.0,"(100, 10)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_3,"{'13_ahead': 22.971570424804899, '24_ahead': 27.018662510597796, '35_ahead': 30.240404110231943, '2_ahead': 18.78478588625849, '46_ahead': 32.586840807684943}"
466,"range(0, 9, 2)",5.0,"(100, 10)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_4,"{'13_ahead': 23.979114106005373, '24_ahead': 26.324897668827457, '35_ahead': 29.322004040177401, '2_ahead': 21.561178907630556, '46_ahead': 32.193308506796583}"
467,"range(0, 9, 2)",5.0,"(100, 10)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_5,"{'13_ahead': 28.39950055397761, '24_ahead': 31.056236416367511, '35_ahead': 32.297411807750521, '2_ahead': 25.362319627014848, '46_ahead': 36.559029601661507}"
468,"range(0, 9, 2)",5.0,"(100, 10)",0.0001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 14.77555741748699, '24_ahead': 20.473622221291418, '35_ahead': 19.641371452685036, '2_ahead': 5.9598655539817083, '46_ahead': 19.099540323790603}"
469,"range(0, 9, 2)",5.0,"(100, 10)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 17.486870072434048, '24_ahead': 23.24480447165255, '35_ahead': 27.502759366924536, '2_ahead': 5.1184882060752441, '46_ahead': 31.738169254405264}"
470,"range(0, 9, 2)",5.0,"(100, 10)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 19.024607909979835, '24_ahead': 24.271865254210429, '35_ahead': 28.053254197117262, '2_ahead': 15.043003841670112, '46_ahead': 30.581884009661799}"
471,"range(0, 9, 2)",5.0,"(100, 10)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_3,"{'13_ahead': 23.076367405443548, '24_ahead': 26.911279474717574, '35_ahead': 29.971033735536984, '2_ahead': 18.877948689173685, '46_ahead': 32.54713846148362}"
472,"range(0, 9, 2)",5.0,"(100, 10)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_4,"{'13_ahead': 23.676780602669592, '24_ahead': 26.627341010820061, '35_ahead': 29.266915482001654, '2_ahead': 21.589742878902303, '46_ahead': 31.792341559260404}"
473,"range(0, 9, 2)",5.0,"(100, 10)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_5,"{'13_ahead': 28.371567169922361, '24_ahead': 30.894239737253685, '35_ahead': 33.211315846182934, '2_ahead': 26.028322952665913, '46_ahead': 35.089657766251257}"
474,"range(0, 9, 2)",5.0,"(100, 10)",5e-05,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 14.500017950755531, '24_ahead': 18.739875257491295, '35_ahead': 21.949833539675417, '2_ahead': 5.8926647365225362, '46_ahead': 22.954825698977455}"
475,"range(0, 9, 2)",5.0,"(100, 10)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 18.677422077137962, '24_ahead': 22.395130603060608, '35_ahead': 26.838100228184857, '2_ahead': 6.5206044367237359, '46_ahead': 31.761775710655556}"
476,"range(0, 9, 2)",5.0,"(100, 10)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 18.877360302657767, '24_ahead': 24.452331661820942, '35_ahead': 27.690815141639444, '2_ahead': 14.258579983643989, '46_ahead': 30.520063924430936}"
477,"range(0, 9, 2)",5.0,"(100, 10)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_3,"{'13_ahead': 22.440741346957704, '24_ahead': 26.614362641260485, '35_ahead': 29.707649285741994, '2_ahead': 18.768645151584476, '46_ahead': 32.092265521252465}"
478,"range(0, 9, 2)",5.0,"(100, 10)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_4,"{'13_ahead': 23.922298460975753, '24_ahead': 26.891263549012947, '35_ahead': 29.286349284616378, '2_ahead': 21.308031396491511, '46_ahead': 31.715646533123643}"
479,"range(0, 9, 2)",5.0,"(100, 10)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_5,"{'13_ahead': 28.556369517912014, '24_ahead': 30.473987474114473, '35_ahead': 32.839084203317483, '2_ahead': 25.782621676408418, '46_ahead': 35.938321667556664}"
480,"range(0, 17, 2)",1.0,"(24,)",0.001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 16.972179018122421, '24_ahead': 22.322365732679067, '35_ahead': 26.105161772582591, '2_ahead': 7.7624673226886252, '46_ahead': 28.279770049415404}"
481,"range(0, 17, 2)",1.0,"(24,)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 17.277770475137842, '24_ahead': 23.267132776344472, '35_ahead': 28.183145329524748, '2_ahead': 6.6128902533862934, '46_ahead': 31.033323887289431}"
482,"range(0, 17, 2)",1.0,"(24,)",0.0005,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 17.650197159394615, '24_ahead': 23.21444382674358, '35_ahead': 25.861617286735036, '2_ahead': 7.8692737556268586, '46_ahead': 27.844211804401372}"
483,"range(0, 17, 2)",1.0,"(24,)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 18.178860031983525, '24_ahead': 24.516887286281552, '35_ahead': 27.751924159350089, '2_ahead': 7.7770847128778016, '46_ahead': 31.684355580630729}"
484,"range(0, 17, 2)",1.0,"(24,)",0.0001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 18.362273539025431, '24_ahead': 23.917290319885659, '35_ahead': 26.913523758193481, '2_ahead': 10.607731370115633, '46_ahead': 28.602788815506599}"
485,"range(0, 17, 2)",1.0,"(24,)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 18.92768609321913, '24_ahead': 25.209350773834402, '35_ahead': 29.530810377602666, '2_ahead': 9.3762462136373497, '46_ahead': 31.535501669508992}"
486,"range(0, 17, 2)",1.0,"(24,)",5e-05,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 17.977168516765108, '24_ahead': 22.998880618205224, '35_ahead': 26.000033671149797, '2_ahead': 9.210274546155313, '46_ahead': 27.608176485091846}"
487,"range(0, 17, 2)",1.0,"(24,)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 18.69292298775202, '24_ahead': 24.999817743424373, '35_ahead': 28.501401058648739, '2_ahead': 8.4165724969495415, '46_ahead': 31.78107612694426}"
488,"range(0, 17, 2)",1.0,"(100,)",0.001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.840951185673832, '24_ahead': 20.194668641717822, '35_ahead': 22.586410329665423, '2_ahead': 6.3688484854385097, '46_ahead': 24.4704977876793}"
489,"range(0, 17, 2)",1.0,"(100,)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.808205628002586, '24_ahead': 23.002092852551787, '35_ahead': 27.648130807452915, '2_ahead': 5.4528898461705086, '46_ahead': 31.107701943073035}"
490,"range(0, 17, 2)",1.0,"(100,)",0.0005,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.773665329172447, '24_ahead': 20.35068691207821, '35_ahead': 24.449763825345535, '2_ahead': 6.4947132800554774, '46_ahead': 25.177450043991641}"
491,"range(0, 17, 2)",1.0,"(100,)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.592192471293547, '24_ahead': 23.158298974026128, '35_ahead': 28.106830383214756, '2_ahead': 5.5407047047783582, '46_ahead': 30.86670265920333}"
492,"range(0, 17, 2)",1.0,"(100,)",0.0001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.366175844046804, '24_ahead': 19.95291485448886, '35_ahead': 24.172824226587007, '2_ahead': 5.6079598637872392, '46_ahead': 23.957484388995265}"
493,"range(0, 17, 2)",1.0,"(100,)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.743588408217882, '24_ahead': 23.366216781013335, '35_ahead': 27.910806366928433, '2_ahead': 4.773743188927317, '46_ahead': 31.190784211176521}"
494,"range(0, 17, 2)",1.0,"(100,)",5e-05,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.575599074621666, '24_ahead': 21.622555372089028, '35_ahead': 23.72993867542937, '2_ahead': 6.3904947350255776, '46_ahead': 23.099621029178756}"
495,"range(0, 17, 2)",1.0,"(100,)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.544231281682677, '24_ahead': 23.134729367138043, '35_ahead': 27.502810031513309, '2_ahead': 5.3505461727895245, '46_ahead': 30.972801708263471}"
496,"range(0, 17, 2)",1.0,"(100, 10)",0.001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 16.049017737351679, '24_ahead': 20.063342042593593, '35_ahead': 20.86172279175759, '2_ahead': 5.9893468650223118, '46_ahead': 21.564626206191676}"
497,"range(0, 17, 2)",1.0,"(100, 10)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.656917478283113, '24_ahead': 23.09142124065999, '35_ahead': 27.840412586293329, '2_ahead': 6.0523830930839146, '46_ahead': 30.810871251670029}"
498,"range(0, 17, 2)",1.0,"(100, 10)",0.0005,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.404425640698527, '24_ahead': 19.126339050170433, '35_ahead': 22.105642709683337, '2_ahead': 5.858896043851602, '46_ahead': 21.157658244907122}"
499,"range(0, 17, 2)",1.0,"(100, 10)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.730857655839877, '24_ahead': 23.322837280338785, '35_ahead': 28.318379682329692, '2_ahead': 5.1951739675158519, '46_ahead': 31.03920381484771}"
500,"range(0, 17, 2)",1.0,"(100, 10)",0.0001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.967625574472278, '24_ahead': 19.399465438933447, '35_ahead': 22.234386207570999, '2_ahead': 5.3289218781654872, '46_ahead': 22.357040622198415}"
501,"range(0, 17, 2)",1.0,"(100, 10)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.844017436005995, '24_ahead': 22.910798050742098, '35_ahead': 27.568990567205823, '2_ahead': 4.9729066553301084, '46_ahead': 30.596593202272199}"
502,"range(0, 17, 2)",1.0,"(100, 10)",5e-05,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 16.202428907014031, '24_ahead': 20.368708201961329, '35_ahead': 20.69091292142102, '2_ahead': 6.898231425679576, '46_ahead': 19.404268862307987}"
503,"range(0, 17, 2)",1.0,"(100, 10)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.861412959751544, '24_ahead': 23.208275181138152, '35_ahead': 28.162357579414653, '2_ahead': 5.5368163032602888, '46_ahead': 31.460255836999927}"
504,"range(0, 17, 2)",2.0,"(24,)",0.001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 16.511561165710894, '24_ahead': 20.74254132089715, '35_ahead': 25.747385129584313, '2_ahead': 7.5915203829298239, '46_ahead': 26.483474241957257}"
505,"range(0, 17, 2)",2.0,"(24,)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 17.130139370089463, '24_ahead': 23.270169546585603, '35_ahead': 27.829106096338055, '2_ahead': 5.3267492607916616, '46_ahead': 31.113710561293324}"
506,"range(0, 17, 2)",2.0,"(24,)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 18.896392291955141, '24_ahead': 24.262610564852334, '35_ahead': 27.922169005881496, '2_ahead': 14.634945488437239, '46_ahead': 30.335701267822493}"
507,"range(0, 17, 2)",2.0,"(24,)",0.0005,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 16.887982359449559, '24_ahead': 21.279028150976085, '35_ahead': 25.469406599896363, '2_ahead': 11.08744583651394, '46_ahead': 26.684625845528121}"
508,"range(0, 17, 2)",2.0,"(24,)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 18.65889821735454, '24_ahead': 24.075520566011484, '35_ahead': 28.907128185328517, '2_ahead': 12.214709683091881, '46_ahead': 31.040530560704607}"
509,"range(0, 17, 2)",2.0,"(24,)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 19.319616108525743, '24_ahead': 24.311256434522452, '35_ahead': 28.048195045805318, '2_ahead': 14.666421255708315, '46_ahead': 30.748482071805626}"
510,"range(0, 17, 2)",2.0,"(24,)",0.0001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 16.487867127616152, '24_ahead': 20.544710355134814, '35_ahead': 24.068665642410821, '2_ahead': 7.2932031864418043, '46_ahead': 28.864475638879483}"
511,"range(0, 17, 2)",2.0,"(24,)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 17.440197538155125, '24_ahead': 23.496838453073838, '35_ahead': 27.893800840531398, '2_ahead': 6.0326636902750126, '46_ahead': 31.666398041595539}"
512,"range(0, 17, 2)",2.0,"(24,)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 19.555705209069792, '24_ahead': 25.167279969393299, '35_ahead': 28.950150954594196, '2_ahead': 14.862467524984964, '46_ahead': 30.912997937645073}"
513,"range(0, 17, 2)",2.0,"(24,)",5e-05,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 16.237559709701216, '24_ahead': 21.595321479648952, '35_ahead': 25.199354125779458, '2_ahead': 11.086447266850145, '46_ahead': 28.539360852126347}"
514,"range(0, 17, 2)",2.0,"(24,)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 17.301976548044756, '24_ahead': 23.473057324480475, '35_ahead': 28.286438040992351, '2_ahead': 6.9069988518238787, '46_ahead': 31.647199351627648}"
515,"range(0, 17, 2)",2.0,"(24,)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 19.642558372904016, '24_ahead': 24.89398847561764, '35_ahead': 27.685783469353193, '2_ahead': 14.798461691680005, '46_ahead': 30.413316403098023}"
516,"range(0, 17, 2)",2.0,"(100,)",0.001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.005768438073664, '24_ahead': 19.696000200234803, '35_ahead': 22.175589794159833, '2_ahead': 6.536407381202344, '46_ahead': 23.124983613740365}"
517,"range(0, 17, 2)",2.0,"(100,)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.70175140080568, '24_ahead': 22.897926748461582, '35_ahead': 27.520334188546443, '2_ahead': 5.053382173636245, '46_ahead': 31.077089074947686}"
518,"range(0, 17, 2)",2.0,"(100,)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 18.883886606244079, '24_ahead': 23.852262862370939, '35_ahead': 27.534346398318782, '2_ahead': 14.399527210093547, '46_ahead': 30.188968453678502}"
519,"range(0, 17, 2)",2.0,"(100,)",0.0005,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.224072382106696, '24_ahead': 19.12828246976667, '35_ahead': 22.458780685665054, '2_ahead': 6.8400148207083662, '46_ahead': 24.743028726063791}"
520,"range(0, 17, 2)",2.0,"(100,)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 17.45463617480122, '24_ahead': 23.519565548098619, '35_ahead': 28.439738867783145, '2_ahead': 5.9979893594831735, '46_ahead': 31.439104187820412}"
521,"range(0, 17, 2)",2.0,"(100,)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 18.933437002138728, '24_ahead': 24.138885072580269, '35_ahead': 27.48596927736298, '2_ahead': 14.411262295995515, '46_ahead': 30.351550350450488}"
522,"range(0, 17, 2)",2.0,"(100,)",0.0001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.53095516510224, '24_ahead': 19.527605059391959, '35_ahead': 20.930723850686039, '2_ahead': 6.5187549812194803, '46_ahead': 20.728152151535692}"
523,"range(0, 17, 2)",2.0,"(100,)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.760811084536321, '24_ahead': 22.897911987353517, '35_ahead': 28.402004171132727, '2_ahead': 5.596434081605044, '46_ahead': 31.023249373681097}"
524,"range(0, 17, 2)",2.0,"(100,)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 18.998753658695666, '24_ahead': 24.037800579716002, '35_ahead': 27.742036035497968, '2_ahead': 14.347869596623182, '46_ahead': 30.498950785648564}"
525,"range(0, 17, 2)",2.0,"(100,)",5e-05,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.093694978909632, '24_ahead': 19.680479701255507, '35_ahead': 23.102641396343603, '2_ahead': 6.4800880534661855, '46_ahead': 21.820981936159708}"
526,"range(0, 17, 2)",2.0,"(100,)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 17.092320003261392, '24_ahead': 23.153011374619435, '35_ahead': 27.925481200805656, '2_ahead': 5.1630561804675885, '46_ahead': 30.906050643033876}"
527,"range(0, 17, 2)",2.0,"(100,)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 19.848850991146378, '24_ahead': 25.548845289819493, '35_ahead': 29.050383303044757, '2_ahead': 14.614969757075038, '46_ahead': 32.050422699340508}"
528,"range(0, 17, 2)",2.0,"(100, 10)",0.001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.722012454992152, '24_ahead': 19.714882504217673, '35_ahead': 23.761722494996164, '2_ahead': 7.4853409333284358, '46_ahead': 19.056293518584869}"
529,"range(0, 17, 2)",2.0,"(100, 10)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.247335398140589, '24_ahead': 24.206616814626454, '35_ahead': 28.265096150623542, '2_ahead': 6.2159752087440099, '46_ahead': 30.587503330771391}"
530,"range(0, 17, 2)",2.0,"(100, 10)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 21.604896451952186, '24_ahead': 24.275683250412477, '35_ahead': 29.586417609520598, '2_ahead': 15.0837599302836, '46_ahead': 30.008773123403863}"
531,"range(0, 17, 2)",2.0,"(100, 10)",0.0005,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.388549067654079, '24_ahead': 18.761317647299268, '35_ahead': 20.092509100239049, '2_ahead': 7.0609972169403354, '46_ahead': 19.257986850808727}"
532,"range(0, 17, 2)",2.0,"(100, 10)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 16.538432996733775, '24_ahead': 22.900090427927577, '35_ahead': 27.728235688908029, '2_ahead': 6.35326049650957, '46_ahead': 30.763586405274783}"
533,"range(0, 17, 2)",2.0,"(100, 10)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 19.028652751376548, '24_ahead': 23.653691131987962, '35_ahead': 27.574985716646427, '2_ahead': 14.397524980022453, '46_ahead': 30.859750070863598}"
534,"range(0, 17, 2)",2.0,"(100, 10)",0.0001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.20227193442641, '24_ahead': 19.48289043165024, '35_ahead': 23.741082720043014, '2_ahead': 6.2710338790151834, '46_ahead': 20.308340675720849}"
535,"range(0, 17, 2)",2.0,"(100, 10)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 17.151269148640232, '24_ahead': 23.633942936647053, '35_ahead': 27.872333295773775, '2_ahead': 5.1318166212959717, '46_ahead': 31.29287094123578}"
536,"range(0, 17, 2)",2.0,"(100, 10)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 18.923175868764897, '24_ahead': 24.558565062695759, '35_ahead': 28.041287734450194, '2_ahead': 14.377926537764701, '46_ahead': 30.241242759235895}"
537,"range(0, 17, 2)",2.0,"(100, 10)",5e-05,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 15.44731204223913, '24_ahead': 19.025784194521997, '35_ahead': 20.3773345439247, '2_ahead': 7.9381060222206443, '46_ahead': 20.196261883148267}"
538,"range(0, 17, 2)",2.0,"(100, 10)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 17.099965541631892, '24_ahead': 22.908992792463547, '35_ahead': 27.433205353020032, '2_ahead': 6.9792419033972486, '46_ahead': 31.387254360126015}"
539,"range(0, 17, 2)",2.0,"(100, 10)",5e-05,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 19.089432053801623, '24_ahead': 24.298436355581138, '35_ahead': 27.638003346845409, '2_ahead': 14.33101062514614, '46_ahead': 30.880032334935638}"
540,"range(0, 17, 2)",3.0,"(24,)",0.001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 16.216221669906457, '24_ahead': 21.712445834255018, '35_ahead': 24.610676017967897, '2_ahead': 6.5389639730544458, '46_ahead': 26.304593485938327}"
541,"range(0, 17, 2)",3.0,"(24,)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 17.890134658282683, '24_ahead': 23.862270220243015, '35_ahead': 28.457062202316628, '2_ahead': 5.9426388353528496, '46_ahead': 31.30314030652152}"
542,"range(0, 17, 2)",3.0,"(24,)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 19.641236114815662, '24_ahead': 24.392210678963124, '35_ahead': 28.111756702599219, '2_ahead': 14.587877368059731, '46_ahead': 30.475824051039201}"
543,"range(0, 17, 2)",3.0,"(24,)",0.001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_3,"{'13_ahead': 25.109016742787336, '24_ahead': 28.484155628428319, '35_ahead': 31.258466712195979, '2_ahead': 19.622712725837744, '46_ahead': 33.377458132316121}"
544,"range(0, 17, 2)",3.0,"(24,)",0.0005,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 16.69151749883525, '24_ahead': 20.811226385664913, '35_ahead': 25.585945141763478, '2_ahead': 10.290572529319324, '46_ahead': 26.986728154066089}"
545,"range(0, 17, 2)",3.0,"(24,)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 17.310187650397189, '24_ahead': 23.649232360224438, '35_ahead': 27.8261617720853, '2_ahead': 8.5534871310732683, '46_ahead': 31.256987388979393}"
546,"range(0, 17, 2)",3.0,"(24,)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 19.541815468370388, '24_ahead': 24.7317658112385, '35_ahead': 28.111922823132808, '2_ahead': 14.822311243260982, '46_ahead': 30.870136005256221}"
547,"range(0, 17, 2)",3.0,"(24,)",0.0005,964.0,"[964, 802, 633, 444, 420]",first_step_loc_3,"{'13_ahead': 23.069009634054122, '24_ahead': 26.87680765487471, '35_ahead': 30.403471556604771, '2_ahead': 19.762390914229048, '46_ahead': 32.476878880114299}"
548,"range(0, 17, 2)",3.0,"(24,)",0.0001,964.0,"[964, 802, 633, 444, 420]",final,"{'13_ahead': 17.497253216795315, '24_ahead': 22.030541001558795, '35_ahead': 25.555850277338308, '2_ahead': 10.393502332709378, '46_ahead': 28.3584878714843}"
549,"range(0, 17, 2)",3.0,"(24,)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_1,"{'13_ahead': 18.658754507742835, '24_ahead': 24.180248596423823, '35_ahead': 27.543597879450882, '2_ahead': 7.8418557790092889, '46_ahead': 31.606461709866476}"
550,"range(0, 17, 2)",3.0,"(24,)",0.0001,964.0,"[964, 802, 633, 444, 420]",first_step_loc_2,"{'13_ahead': 19.746472397079078, '24_ahead': 24.245405072866408, '35_ahead': 27.924153097050475, '2_ahead': 14.480997611230002, '46_ahead': 30.655496516574548}"
